text	label
Hi, this is Joe Last and I would like to pay my auto insurance bill.	PayBill
So what is my payment?	CheckAccountBalance
I need to file a car accident claim.	FileClaim
yes I need to pay my bill.	PayBill
Yeah it's fine. Last night I tried filing a claim online on your website, it wasn't successful so that's the reason I'm calling right now.	FileClaim
Yes I am, thanks. I need you to guide me throught the step by step procedure of filing a claim.	FileClaim
my office requested I get a proof of insurance from my provider. Would that be possible?	RequestProofOfInsurance
Hi Rebecca, it's Brad. I called earlier to make enquiries about getting my kids added to my policy plan.	AddDependent
Thank you Michelle. I need some guidiance with getting a claim filed.	FileClaim
my kids were all dependents of my late husband's policy. I would like to change that and make them dependents of my insurance policy.	AddDependent
my credit card recently got expired. I wanna update my payment preference.	UpdatePaymentPreference
Yes I'm gonna need an auto quote.	GetQuote
I recently moved to a new apartment and the property owner has requested a proof of insurance.	RequestProofOfInsurance
No but I don't mind creating an account right away so I get the proof of insurance.	CreateAccount
Yes please. Could you please sign me up?	EnrollInPlan
Hi Ann, so my friend just referred Rivertown Insurance to me saying y'all got great customer service because my current insurance company has got really shitty customer service and honestly I'm done with them. Please sign me up I wanna get insured.	EnrollInPlan
For the auto and health plan.	EnrollInPlan
been noticing multiple debit transactions on my account and I'm starting to think I'm being ripped off.	ReportBillingIssue
I noticed multiple debit transcations last months and I also got multiple debit transactions earlier today so I am no longer interested in the automatic billing.	CancelAutomaticBilling
Well I just got a new cat and I'm thinking about getting her insured. Can I do that?	EnrollInPlan
Hi I would like to create an account and also enrol for an insurance plan.	CreateAccount
I wanna enrol for the life insurance. I could also get an auto quote forwarded to me so I check that out for a later time.	EnrollInPlan
And how much for the term life insurance?	GetQuote
I think I'm gonna opt for the universal life plan.	EnrollInPlan
Can I get a quote for the petcare preferred plan.	GetQuote
I should actually take this opportunity and open up an account.	CreateAccount
Hello, I'd like to set up a new account with you guys.	CreateAccount
Yeah I'd like to set up an account for auto insurance.	EnrollInPlan
Hi Anthony, my name is Brianna. I'm calling bacause I recently moved out of my previous residence and I wanna change my address so I don't get my mails sent over there.	ChangeAddress
One last thing. My landlord has requested for a proof of insurance.	RequestProofOfInsurance
as a matter of fact there is something you can do. I need to file a claim for my home, you can make it as smooth as possible. I'd appreciate that.	FileClaim
So yeah I wanna cancel my auto policy plan.	CancelPlan
Hi, I just got involved in an accident and I wanna file an auto claim.	FileClaim
Hi I wanna get a howeowners quote.	GetQuote
I'm kinda leaning towards the home complete plan.	EnrollInPlan
Okay. Sign me up.	CreateAccount
So what have I gotta do to get my dependent added to my account?	AddDependent
Hi Anna, my name is Robert. I recently got a new apartment and I wanna get more information about a renters insurance and get a renters quote.	GetQuote
Okay then. Sign me up.	CreateAccount
Hi Curtis, I'm Josh. I called earlier in regards to a condo quote.	GetQuote
Yeah I got time on my hands right now. Let's get it done.	EnrollInPlan
you know what I think Ill just do the basic for both and if I feel like I need to change it later, can I just call you guys, and have it switched?	EnrollInPlan
It's the password, I think I need to reset it.	ResetPassword
Finally got someone jeez. Yeah. My name is John Brown, policy number one two three four five six seven eight and I need to cancel my plan.	CancelPlan
Hi Rachel, I'm calling because I want to cancel my insurance plan with you guys.	CancelPlan
Hi Rachel, I'm calling because I want to cancel my insurance plan with you guys.	CancelPlan
yeah, I need to change my address, we recently moved a few blocks over.	ChangeAddress
Hi, Anna. We just moved and I need to make sure our bills come to the new place.	ChangeAddress
Hi, Mike. Um, I need insurance for my dog.	EnrollInPlan
Gabe, hi, my name is Sam. I need to, uh, find out how much it costs to get insurance for my dog.	GetQuote
Uh, yeah, my account got hacked. It's a mess. My payment comes out on the second and there's nothing in there right now. I've got to stop the payment from coming out.	CancelAutomaticBilling
Yeah, I just realized I've never paid you any other way. How does this work?	UpdatePaymentPreference
Oh, okay. This is Grant Baker. I thought I paid you guys but now I've got this bill for twice the amount I should owe.	ReportBillingIssue
uh, yeah, I'm on your website and I can't log in for some reason. I don't know what's going on.	ResetPassword
Hi Gladys, uh, I need to get a quote from you on some insurance.	GetQuote
Sounds like you've been in an accident. How can I help?	ReportAutomobileAccident
Okay, I've got your policy pulled up here. Do you need me to email it to you?	RequestProofOfInsurance
