ACC,ARI,NMI,dataset,method,known_cls_ratio,cluster_num_factor,seed,train_batch_size,learning_rate,K
74.93,68.71,89.63,clinc,DKT,0.5,2.0,0,512,0.0003,75
72.8,65.55,88.6,clinc,DKT,0.5,2.0,1,512,0.0003,75
77.78,71.09,90.16,clinc,DKT,0.5,2.0,2,512,0.0003,75
76.18,69.76,89.9,clinc,DKT,0.5,2.0,0,450,0.0003,75
73.78,65.83,88.25,clinc,DKT,0.5,2.0,1,450,0.0003,75
74.04,67.76,89.11,clinc,DKT,0.5,2.0,2,450,0.0003,75
75.02,68.77,89.33,clinc,DKT,0.5,2.0,3,450,0.0003,75
73.33,67.49,89.24,clinc,DKT,0.5,2.0,4,450,0.0003,75
63.68,50.97,70.99,banking,DKT,0.75,2.0,42,400,0.0001,19
67.37,54.72,73.14,banking,DKT,0.75,2.0,35,400,0.0001,19
64.61,51.52,70.66,banking,DKT,0.75,2.0,36,400,0.0001,19
67.76,53.97,73.65,banking,DKT,0.75,2.0,37,400,0.0001,19
