ACC,ARI,NMI,SC,dataset,method,known_cls_ratio,cluster_num_factor,seed,train_batch_size,learning_rate,K
95.56,91.38,95.94,0.6635058522224426,clinc,DKT,0.8,2.0,42,400,0.0003,30
95.56,90.5,94.18,0.6497852802276611,clinc,DKT,0.9,2.0,42,512,0.0003,15
89.48,83.73,93.73,0.6387734413146973,clinc,DKT,0.7,2.0,42,512,0.0003,45
87.26,81.21,92.52,0.5902155041694641,clinc,DKT,0.7,2.0,0,512,0.0003,45
79.56,71.43,90.3,0.5954540371894836,clinc,DKT,0.7,2.0,1,512,0.0003,45
89.33,84.09,93.72,0.6627922058105469,clinc,DKT,0.7,2.0,2,512,0.0003,45
86.22,77.56,91.97,0.6004524230957031,clinc,DKT,0.7,2.0,10,512,0.0003,45
87.85,81.84,92.79,0.6257122159004211,clinc,DKT,0.7,2.0,11,512,0.0003,45
90.37,86.23,94.42,0.6553865671157837,clinc,DKT,0.7,2.0,12,512,0.0003,45
90.67,85.21,94.04,0.6413894891738892,clinc,DKT,0.7,2.0,13,512,0.0003,45
93.04,87.96,95.32,0.6737944483757019,clinc,DKT,0.7,2.0,14,512,0.0003,45
86.81,80.56,92.44,0.6010207533836365,clinc,DKT,0.7,2.0,20,512,0.0003,45
92.0,86.93,94.84,0.6648843884468079,clinc,DKT,0.7,2.0,21,512,0.0003,45
86.37,79.27,92.37,0.590036153793335,clinc,DKT,0.7,2.0,22,512,0.0003,45
90.96,86.08,94.18,0.6603466868400574,clinc,DKT,0.7,2.0,23,512,0.0003,45
87.56,82.07,93.25,0.6167135238647461,clinc,DKT,0.7,2.0,24,512,0.0003,45
85.63,79.49,92.32,0.6173979640007019,clinc,DKT,0.7,2.0,30,512,0.0003,45
88.44,83.8,93.7,0.5739120244979858,clinc,DKT,0.7,2.0,31,512,0.0003,45
88.89,82.81,93.36,0.6381198763847351,clinc,DKT,0.7,2.0,32,512,0.0003,45
88.59,83.35,93.54,0.6287046074867249,clinc,DKT,0.7,2.0,33,512,0.0003,45
88.59,82.52,93.22,0.619564950466156,clinc,DKT,0.7,2.0,34,512,0.0003,45
87.7,80.88,93.07,0.6038068532943726,clinc,DKT,0.7,2.0,5,512,0.0003,45
89.93,83.71,93.41,0.6596405506134033,clinc,DKT,0.7,2.0,6,512,0.0003,45
89.93,84.02,93.81,0.6346895098686218,clinc,DKT,0.7,2.0,7,512,0.0003,45
87.26,81.28,92.86,0.583104133605957,clinc,DKT,0.7,2.0,8,512,0.0003,45
90.37,84.67,94.14,0.6144953966140747,clinc,DKT,0.7,2.0,9,512,0.0003,45
89.48,84.57,94.01,0.6625432372093201,clinc,DKT,0.7,2.0,15,512,0.0003,45
89.78,84.09,93.89,0.610646665096283,clinc,DKT,0.7,2.0,16,512,0.0003,45
94.81,90.46,96.08,0.6982685327529907,clinc,DKT,0.7,2.0,17,512,0.0003,45
84.3,79.89,92.59,0.5974047183990479,clinc,DKT,0.7,2.0,18,512,0.0003,45
91.56,86.64,94.42,0.6492915153503418,clinc,DKT,0.7,2.0,19,512,0.0003,45
84.74,78.67,91.77,0.6130653023719788,clinc,DKT,0.7,2.0,25,512,0.0003,45
86.67,78.85,92.12,0.5899841785430908,clinc,DKT,0.7,2.0,26,512,0.0003,45
87.41,81.27,92.44,0.574291467666626,clinc,DKT,0.7,2.0,27,512,0.0003,45
90.22,87.04,95.01,0.6760311722755432,clinc,DKT,0.7,2.0,28,512,0.0003,45
87.7,81.58,92.79,0.6001410484313965,clinc,DKT,0.7,2.0,29,512,0.0003,45
