ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K,score
48.55,30.53,54.86,0.3306299,banking,DKT,42,400,0.0003,22,
42.49,28.01,52.1,0.279626727104187,banking,DKT,20,400,0.0003,22,
43.73,25.75,49.96,0.2964684665203094,banking,DKT,21,400,0.0003,22,
39.59,23.23,48.47,0.2815949618816376,banking,DKT,22,400,0.0003,22,
47.14,30.84,53.88,0.3114568591117859,banking,DKT,23,400,0.0003,22,
44.15,27.19,52.16,0.3352975249290466,banking,DKT,24,400,0.0003,22,
41.33,25.02,50.5,0.2852116525173187,banking,DKT,25,400,0.0003,22,
42.99,24.86,48.97,0.2795822918415069,banking,DKT,26,400,0.0003,22,
40.33,23.75,47.83,0.2854060232639313,banking,DKT,27,400,0.0003,22,
46.39,30.06,54.02,0.3743927776813507,banking,DKT,28,400,0.0003,22,
42.82,27.03,51.65,0.3249141573905945,banking,DKT,29,400,0.0003,22,
44.48,27.08,51.05,0.286314845085144,banking,DKT,30,400,0.0003,22,
43.07,26.57,50.95,0.3073046207427978,banking,DKT,31,400,0.0003,22,
42.32,27.09,51.38,0.3057321012020111,banking,DKT,32,400,0.0003,22,
43.4,26.85,50.43,0.2991803586483001,banking,DKT,33,400,0.0003,22,
47.55,30.03,54.82,0.3323472142219543,banking,DKT,34,400,0.0003,22,
42.16,27.22,49.69,0.31900155544281,banking,DKT,35,400,0.0003,22,
43.73,27.83,52.61,0.3623096644878387,banking,DKT,36,400,0.0003,22,
42.49,26.01,50.64,0.3246019184589386,banking,DKT,37,400,0.0003,22,
50.04,33.21,56.27,0.3127949833869934,banking,DKT,38,400,0.0003,22,
42.74,25.44,49.75,0.2829276621341705,banking,DKT,39,400,0.0003,22,
54.19,39.32,59.28,,banking,DKT,0,400,0.0003,22,
54.19,39.32,59.28,,banking,DKT,0,400,0.0003,22,
57.26,43.16,65.35,,banking,DKT,42,400,0.0003,22,
57.26,43.16,65.35,,banking,DKT,42,400,0.0003,22,
58.26,43.49,66.45,0.6228887438774109,banking,DKT,42,400,0.0003,22,
59.34,44.69,66.85,0.6093184947967529,banking,DKT,20,400,0.0003,22,
60.33,46.05,67.67,0.6218933463096619,banking,DKT,21,400,0.0003,22,
60.0,46.21,67.44,0.6200515031814575,banking,DKT,22,400,0.0003,22,
60.25,46.14,67.76,0.6211438179016113,banking,DKT,21,400,0.0003,22,
60.33,46.05,67.67,0.6217221021652222,banking,DKT,21,400,0.0003,22,
