ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
54.85,39.46,59.5,0.13889226,banking,DKT,42,400,0.0003,19
57.76,43.44,63.13,0.3847221434116363,banking,DKT,42,400,5e-05,19
57.51,43.12,61.75,0.2068306505680084,banking,DKT,42,400,1e-05,19
61.99,43.48,66.01,0.8405730128288269,banking,DKT,42,400,0.0003,22
60.0,42.07,63.64,0.377541184425354,banking,DKT,42,400,5e-05,22
60.75,43.37,62.49,0.4579850137233734,banking,DKT,42,400,0.0003,22
61.83,45.34,63.3,0.2043803632259369,banking,DKT,42,400,0.0003,22
60.91,42.75,61.5,0.20221708714962,banking,DKT,42,400,0.0003,22
59.25,42.66,60.74,0.3510500192642212,banking,DKT,42,400,0.0003,22
62.49,45.77,62.8,0.216347798705101,banking,DKT,20,400,0.0003,22
59.92,43.45,61.62,0.2102740705013275,banking,DKT,21,400,0.0003,22
61.16,44.98,62.65,0.214261382818222,banking,DKT,22,400,0.0003,22
61.74,45.4,63.05,0.2166296690702438,banking,DKT,23,400,0.0003,22
63.15,46.66,63.63,0.214324414730072,banking,DKT,24,400,0.0003,22
63.24,47.3,63.89,0.2157188802957534,banking,DKT,25,400,0.0003,22
61.24,45.68,62.24,0.2077990472316742,banking,DKT,26,400,0.0003,22
61.83,45.23,62.37,0.2148148566484451,banking,DKT,27,400,0.0003,22
61.16,44.92,62.63,0.2069886028766632,banking,DKT,28,400,0.0003,22
62.41,46.5,63.5,0.2112589329481125,banking,DKT,29,400,0.0003,22
61.66,45.98,63.07,0.212809070944786,banking,DKT,30,400,0.0003,22
63.15,46.26,63.24,0.218965470790863,banking,DKT,31,400,0.0003,22
62.41,46.71,63.36,0.2126017659902572,banking,DKT,32,400,0.0003,22
61.0,44.71,62.56,0.2084875404834747,banking,DKT,33,400,0.0003,22
61.49,45.61,62.8,0.2073477208614349,banking,DKT,34,400,0.0003,22
60.91,44.38,61.99,0.2925812005996704,banking,DKT,35,400,0.0003,22
61.74,45.74,63.47,0.2134363651275634,banking,DKT,36,400,0.0003,22
61.24,44.24,61.9,0.2037643641233444,banking,DKT,37,400,0.0003,22
62.66,46.3,63.15,0.2039495259523391,banking,DKT,38,400,0.0003,22
60.58,44.29,62.51,0.215900033712387,banking,DKT,39,400,0.0003,22
51.7,36.79,58.96,0.1051960811018943,banking,DKT,0,400,0.0003,21
54.61,39.67,60.14,0.1169469282031059,banking,DKT,1,400,0.0003,21
53.69,35.9,59.32,0.0983928814530372,banking,DKT,2,400,0.0003,19
49.63,37.16,58.43,0.101362407207489,banking,DKT,3,400,0.0003,20
54.11,36.96,62.02,0.1016777530312538,banking,DKT,4,400,0.0003,20
51.29,37.9,60.43,0.1062261164188385,banking,DKT,5,400,0.0003,20
59.25,42.79,61.41,0.1362663507461547,banking,DKT,32,400,0.0003,22
62.99,45.02,66.5,0.6834259629249573,banking,DKT,32,400,0.0003,22
64.56,46.16,67.58,0.8210481405258179,banking,DKT,32,400,0.0003,22
64.56,46.16,67.58,0.819646418094635,banking,DKT,32,400,0.0003,22
