ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K,score
54.36,39.47,60.99,0.110440545,banking,DKT,32,400,0.0003,22,
55.52,43.02,64.57,0.6738687753677368,banking,DKT,32,400,0.0003,22,
60.5,46.81,67.53,0.7283292412757874,banking,DKT,32,400,0.0003,22,
64.56,46.16,67.58,0.8205503225326538,banking,DKT,32,400,0.0003,22,
52.45,36.55,58.35,0.1136751398444175,banking,DKT,42,400,0.0003,22,
61.49,45.74,65.82,0.6573984622955322,banking,DKT,42,400,0.0003,22,
61.58,46.19,66.38,0.6619541645050049,banking,DKT,30,400,0.0003,22,
62.41,46.66,66.65,0.6692161560058594,banking,DKT,31,400,0.0003,22,
61.58,46.63,66.36,0.6704327464103699,banking,DKT,32,400,0.0003,22,
62.49,47.1,67.72,0.6721270680427551,banking,DKT,33,400,0.0003,22,
60.91,45.48,65.31,0.6648141741752625,banking,DKT,34,400,0.0003,22,
61.41,46.32,66.17,0.6696212291717529,banking,DKT,35,400,0.0003,22,
61.58,46.31,65.89,0.6542758345603943,banking,DKT,36,400,0.0003,22,
61.33,46.01,66.01,0.6616812944412231,banking,DKT,37,400,0.0003,22,
61.16,45.69,65.59,0.6690205931663513,banking,DKT,38,400,0.0003,22,
61.33,46.18,66.97,0.657838761806488,banking,DKT,39,400,0.0003,22,
51.7,35.93,60.85,0.1021834537386894,banking,DKT,30,400,0.0003,22,
53.44,37.95,60.62,0.1086248904466629,banking,DKT,31,400,0.0003,22,
49.29,35.31,58.67,0.1078274548053741,banking,DKT,32,400,0.0003,22,
52.12,37.42,59.59,0.1067469716072082,banking,DKT,33,400,0.0003,22,
48.05,33.49,57.52,0.1106650233268737,banking,DKT,34,400,0.0003,22,
50.12,36.85,59.33,0.1137153059244155,banking,DKT,35,400,0.0003,22,
50.87,37.31,59.96,0.1035698875784874,banking,DKT,36,400,0.0003,22,
55.93,38.06,61.3,0.1121360808610916,banking,DKT,37,400,0.0003,22,
53.86,38.64,62.6,0.1016045585274696,banking,DKT,38,400,0.0003,22,
57.34,41.68,63.06,0.1103866770863533,banking,DKT,39,400,0.0003,22,
63.07,48.91,69.61,0.7833789587020874,banking,DKT,30,400,0.0003,22,
63.15,46.85,69.22,0.7763308882713318,banking,DKT,31,400,0.0003,22,
63.4,47.44,69.43,0.7753280997276306,banking,DKT,32,400,0.0003,22,
63.24,47.61,68.93,0.7745252847671509,banking,DKT,33,400,0.0003,22,
63.24,46.84,69.21,0.7736850380897522,banking,DKT,34,400,0.0003,22,
62.99,47.36,69.19,0.7625696659088135,banking,DKT,35,400,0.0003,22,
62.66,48.44,69.28,0.7752197980880737,banking,DKT,36,400,0.0003,22,
62.66,46.37,69.15,0.7736409902572632,banking,DKT,37,400,0.0003,22,
63.15,46.88,68.92,0.7683727741241455,banking,DKT,38,400,0.0003,22,
61.83,47.25,68.43,0.79205721616745,banking,DKT,39,400,0.0003,22,
45.31,31.41,56.2,0.0960382521152496,banking,DKT,42,128,0.0003,22,
53.11,37.51,61.28,0.0979958474636077,banking,DKT,42,128,0.0003,22,
53.11,37.51,61.28,0.0979958474636077,banking,DKT,42,128,0.0003,22,
59.42,48.34,68.46,0.9289239048957824,banking,DKT,42,128,0.0003,22,
60.0,49.08,69.26,0.761268138885498,banking,DKT,42,512,0.0003,22,
60.08,48.99,69.18,0.7539241909980774,banking,DKT,30,512,0.0003,22,
60.0,48.91,69.16,0.7556750774383545,banking,DKT,31,512,0.0003,22,
60.58,49.16,69.27,0.757034420967102,banking,DKT,32,512,0.0003,22,
60.25,49.02,69.18,0.7567382454872131,banking,DKT,33,512,0.0003,22,
51.78,35.71,59.04,0.1081899031996727,banking,DKT,42,128,0.0003,22,
58.42,45.28,65.16,0.9401839375495912,banking,DKT,42,128,0.0003,22,
47.22,31.73,56.28,0.0969847664237022,banking,DKT,42,128,0.0003,22,
57.34,41.68,63.06,0.1103866621851921,banking,DKT,32,128,0.0003,22,
54.36,39.47,60.99,0.110440544784069,banking,DKT,32,128,0.0003,22,
56.51,40.73,60.94,0.1202674731612205,banking,DKT,32,128,0.0003,22,
52.37,37.09,59.55,0.1088949218392372,banking,DKT,32,128,0.0003,22,
54.77,39.7,62.87,0.1071192324161529,banking,DKT,32,128,0.0003,22,
55.44,40.03,61.85,0.10624311119318,banking,DKT,32,128,0.0003,22,
59.25,42.79,61.41,0.1362663507461547,banking,DKT,32,128,0.0003,22,
64.56,46.16,67.58,0.8209396600723267,banking,DKT,32,400,0.0003,22,
54.77,38.34,61.69,0.1170879304409027,virtual_assistant,DKT,42,400,0.0003,22,
68.05,51.61,70.2,0.6784224510192871,virtual_assistant,DKT,42,400,0.0003,22,
68.63,51.93,70.43,0.6748992204666138,virtual_assistant,DKT,30,400,0.0003,22,
68.05,52.3,70.93,0.7100599408149719,virtual_assistant,DKT,31,400,0.0003,22,
68.8,51.84,70.58,0.6838260293006897,virtual_assistant,DKT,32,400,0.0003,22,
67.8,51.94,70.18,0.6704668998718262,virtual_assistant,DKT,33,400,0.0003,22,
67.22,51.58,70.07,0.6393560767173767,virtual_assistant,DKT,34,400,0.0003,22,
67.97,51.52,70.4,0.6686387658119202,virtual_assistant,DKT,35,400,0.0003,22,
67.63,51.23,70.32,0.668561577796936,virtual_assistant,DKT,36,400,0.0003,22,
67.3,51.36,69.8,0.6567898392677307,virtual_assistant,DKT,37,400,0.0003,22,
68.38,51.88,70.67,0.6771379709243774,virtual_assistant,DKT,38,400,0.0003,22,
68.38,51.96,70.37,0.6742944121360779,virtual_assistant,DKT,39,400,0.0003,22,
68.05,52.3,70.93,0.7100632786750793,virtual_assistant,DKT,31,400,0.0003,22,
62.16,46.36,66.61,0.6815481185913086,virtual_assistant,DKT,31,400,0.0003,21,
64.65,49.3,68.24,0.6940631866455078,virtual_assistant,DKT,30,400,0.0003,21,
64.4,49.42,68.28,0.6649860739707947,virtual_assistant,DKT,32,400,0.0003,21,
64.81,49.02,68.13,0.6688892841339111,virtual_assistant,DKT,33,400,0.0003,21,
